"Elapsed time","Datetime","Magnetic field"
55.066797,"2021-07-12 19:18:40.549190",-53.343
55.605419,"2021-07-12 19:18:41.087812",-53.436
56.135956,"2021-07-12 19:18:41.618349",-53.509
56.681355,"2021-07-12 19:18:42.163748",-53.577
57.225118,"2021-07-12 19:18:42.707511",-53.638
57.767677,"2021-07-12 19:18:43.250070",-53.684
58.311907,"2021-07-12 19:18:43.794300",-53.73
58.856388,"2021-07-12 19:18:44.338781",-53.761
59.395087,"2021-07-12 19:18:44.877480",-53.797
59.941389,"2021-07-12 19:18:45.423782",-53.823
60.487614,"2021-07-12 19:18:45.970007",-53.854
61.028841,"2021-07-12 19:18:46.511234",-53.875
61.570603,"2021-07-12 19:18:47.052996",-53.905
62.098535,"2021-07-12 19:18:47.580928",-53.927
62.629929,"2021-07-12 19:18:48.112322",-53.947
63.173711,"2021-07-12 19:18:48.656104",-53.962
63.713561,"2021-07-12 19:18:49.195954",-53.977
64.256879,"2021-07-12 19:18:49.739272",-53.988
64.789798,"2021-07-12 19:18:50.272191",-54.0
65.333707,"2021-07-12 19:18:50.816100",-54.01
65.872328,"2021-07-12 19:18:51.354721",-54.021
66.403475,"2021-07-12 19:18:51.885868",-54.025
66.948546,"2021-07-12 19:18:52.430939",-54.032
67.490036,"2021-07-12 19:18:52.972429",-54.038
68.035091,"2021-07-12 19:18:53.517484",-54.045
68.574639,"2021-07-12 19:18:54.057032",-54.049
69.106328,"2021-07-12 19:18:54.588721",-54.053
69.647427,"2021-07-12 19:18:55.129820",-54.056
70.191426,"2021-07-12 19:18:55.673819",-54.059
70.734792,"2021-07-12 19:18:56.217185",-54.063
71.281407,"2021-07-12 19:18:56.763800",-54.066
71.822708,"2021-07-12 19:18:57.305101",-54.068
72.369247,"2021-07-12 19:18:57.851640",-54.067
72.907898,"2021-07-12 19:18:58.390291",-54.065
73.43783,"2021-07-12 19:18:58.920223",-54.07
73.96842,"2021-07-12 19:18:59.450813",-54.073
74.51139,"2021-07-12 19:18:59.993783",-54.077
75.055225,"2021-07-12 19:19:00.537618",-54.082
75.599564,"2021-07-12 19:19:01.081957",-54.094
76.139336,"2021-07-12 19:19:01.621729",-54.103
76.670691,"2021-07-12 19:19:02.153084",-54.113
77.21425,"2021-07-12 19:19:02.696643",-54.121
77.757179,"2021-07-12 19:19:03.239572",-54.13
78.302068,"2021-07-12 19:19:03.784461",-54.141
78.843384,"2021-07-12 19:19:04.325777",-54.149
79.38802,"2021-07-12 19:19:04.870413",-54.157
79.929012,"2021-07-12 19:19:05.411405",-54.168
80.456571,"2021-07-12 19:19:05.938964",-54.174
80.985389,"2021-07-12 19:19:06.467782",-54.181
81.517385,"2021-07-12 19:19:06.999778",-54.188
82.060694,"2021-07-12 19:19:07.543087",-54.196
82.603262,"2021-07-12 19:19:08.085655",-54.202
83.146271,"2021-07-12 19:19:08.628664",-54.207
83.688801,"2021-07-12 19:19:09.171194",-54.211
84.219595,"2021-07-12 19:19:09.701988",-54.215
84.761002,"2021-07-12 19:19:10.243395",-54.218
85.307497,"2021-07-12 19:19:10.789890",-54.225
85.848984,"2021-07-12 19:19:11.331377",-54.226
86.389857,"2021-07-12 19:19:11.872250",-54.229
86.921552,"2021-07-12 19:19:12.403945",-54.232
87.462647,"2021-07-12 19:19:12.945040",-54.235
87.994618,"2021-07-12 19:19:13.477011",-54.238
88.536981,"2021-07-12 19:19:14.019374",-54.237
89.079482,"2021-07-12 19:19:14.561875",-54.238
89.622597,"2021-07-12 19:19:15.104990",-54.24
90.153059,"2021-07-12 19:19:15.635452",-54.242
90.695991,"2021-07-12 19:19:16.178384",-54.243
91.237124,"2021-07-12 19:19:16.719517",-54.243
91.765312,"2021-07-12 19:19:17.247705",-54.245
92.307596,"2021-07-12 19:19:17.789989",-54.245
92.838789,"2021-07-12 19:19:18.321182",-54.246
93.380696,"2021-07-12 19:19:18.863089",-54.246
93.911306,"2021-07-12 19:19:19.393699",-54.247
94.455303,"2021-07-12 19:19:19.937696",-54.246
94.999461,"2021-07-12 19:19:20.481854",-54.246
95.540889,"2021-07-12 19:19:21.023282",-54.246
96.083431,"2021-07-12 19:19:21.565824",-54.248
96.625454,"2021-07-12 19:19:22.107847",-54.249
97.155819,"2021-07-12 19:19:22.638212",-54.253
97.699237,"2021-07-12 19:19:23.181630",-54.258
98.243845,"2021-07-12 19:19:23.726238",-54.263
98.78985,"2021-07-12 19:19:24.272243",-54.27
99.333703,"2021-07-12 19:19:24.816096",-54.275
99.877319,"2021-07-12 19:19:25.359712",-54.288
100.421251,"2021-07-12 19:19:25.903644",-54.293
100.96345,"2021-07-12 19:19:26.445843",-54.3
101.505672,"2021-07-12 19:19:26.988065",-54.309
102.050678,"2021-07-12 19:19:27.533071",-54.308
102.592068,"2021-07-12 19:19:28.074461",-54.313
103.123526,"2021-07-12 19:19:28.605919",-54.319
103.662768,"2021-07-12 19:19:29.145161",-54.322
104.194159,"2021-07-12 19:19:29.676552",-54.326
104.738496,"2021-07-12 19:19:30.220889",-54.328
105.279898,"2021-07-12 19:19:30.762291",-54.332
105.807255,"2021-07-12 19:19:31.289648",-54.335
106.335415,"2021-07-12 19:19:31.817808",-54.337
106.882201,"2021-07-12 19:19:32.364594",-54.34
107.421619,"2021-07-12 19:19:32.904012",-54.343
107.95303,"2021-07-12 19:19:33.435423",-54.344
108.49268,"2021-07-12 19:19:33.975073",-54.346
109.023883,"2021-07-12 19:19:34.506276",-54.348
109.564928,"2021-07-12 19:19:35.047321",-54.349
110.112774,"2021-07-12 19:19:35.595167",-54.35
110.652409,"2021-07-12 19:19:36.134802",-54.353
111.18455,"2021-07-12 19:19:36.666943",-54.355
111.727442,"2021-07-12 19:19:37.209835",-54.356
112.268738,"2021-07-12 19:19:37.751131",-54.357
112.811456,"2021-07-12 19:19:38.293849",-54.357
113.342274,"2021-07-12 19:19:38.824667",-54.356
113.887522,"2021-07-12 19:19:39.369915",-54.357
114.430218,"2021-07-12 19:19:39.912611",-54.356
114.973592,"2021-07-12 19:19:40.455985",-54.354
115.514016,"2021-07-12 19:19:40.996409",-54.351
116.046355,"2021-07-12 19:19:41.528748",-54.35
116.590195,"2021-07-12 19:19:42.072588",-54.347
117.131478,"2021-07-12 19:19:42.613871",-54.346
117.677762,"2021-07-12 19:19:43.160155",-54.346
118.221615,"2021-07-12 19:19:43.704008",-54.345
118.765274,"2021-07-12 19:19:44.247667",-54.348
119.30909,"2021-07-12 19:19:44.791483",-54.352
119.849372,"2021-07-12 19:19:45.331765",-54.357
120.38074,"2021-07-12 19:19:45.863133",-54.364
120.921102,"2021-07-12 19:19:46.403495",-54.37
121.462362,"2021-07-12 19:19:46.944755",-54.377
122.008434,"2021-07-12 19:19:47.490827",-54.386
122.552922,"2021-07-12 19:19:48.035315",-54.394
123.093092,"2021-07-12 19:19:48.575485",-54.403
123.620206,"2021-07-12 19:19:49.102599",-54.408
124.153305,"2021-07-12 19:19:49.635698",-54.411
124.694039,"2021-07-12 19:19:50.176432",-54.414
125.238618,"2021-07-12 19:19:50.721011",-54.419
125.779848,"2021-07-12 19:19:51.262241",-54.424
126.30755,"2021-07-12 19:19:51.789943",-54.426
126.837848,"2021-07-12 19:19:52.320241",-54.429
127.378868,"2021-07-12 19:19:52.861261",-54.431
127.907034,"2021-07-12 19:19:53.389427",-54.433
128.434754,"2021-07-12 19:19:53.917147",-54.435
128.966486,"2021-07-12 19:19:54.448879",-54.436
129.506381,"2021-07-12 19:19:54.988774",-54.438
130.049893,"2021-07-12 19:19:55.532286",-54.438
130.580714,"2021-07-12 19:19:56.063107",-54.438
131.120754,"2021-07-12 19:19:56.603147",-54.438
131.647716,"2021-07-12 19:19:57.130109",-54.438
132.176024,"2021-07-12 19:19:57.658417",-54.439
132.721104,"2021-07-12 19:19:58.203497",-54.438
133.265035,"2021-07-12 19:19:58.747428",-54.438
133.809449,"2021-07-12 19:19:59.291842",-54.438
134.355411,"2021-07-12 19:19:59.837804",-54.438
134.894836,"2021-07-12 19:20:00.377229",-54.439
135.439778,"2021-07-12 19:20:00.922171",-54.443
135.970682,"2021-07-12 19:20:01.453075",-54.443
136.512737,"2021-07-12 19:20:01.995130",-54.442
137.058168,"2021-07-12 19:20:02.540561",-54.441
137.601557,"2021-07-12 19:20:03.083950",-54.442
138.144208,"2021-07-12 19:20:03.626601",-54.442
138.686147,"2021-07-12 19:20:04.168540",-54.441
139.231471,"2021-07-12 19:20:04.713864",-54.439
139.775804,"2021-07-12 19:20:05.258197",-54.438
140.319793,"2021-07-12 19:20:05.802186",-54.439
140.863333,"2021-07-12 19:20:06.345726",-54.44
141.407127,"2021-07-12 19:20:06.889520",-54.443
141.951022,"2021-07-12 19:20:07.433415",-54.448
142.494128,"2021-07-12 19:20:07.976521",-54.454
143.038489,"2021-07-12 19:20:08.520882",-54.463
143.579393,"2021-07-12 19:20:09.061786",-54.474
144.124046,"2021-07-12 19:20:09.606439",-54.484
144.669913,"2021-07-12 19:20:10.152306",-54.492
145.213615,"2021-07-12 19:20:10.696008",-54.5
145.75696,"2021-07-12 19:20:11.239353",-54.507
146.300973,"2021-07-12 19:20:11.783366",-54.516
146.840459,"2021-07-12 19:20:12.322852",-54.52
147.372645,"2021-07-12 19:20:12.855038",-54.526
147.916422,"2021-07-12 19:20:13.398815",-54.53
148.456609,"2021-07-12 19:20:13.939002",-54.535
149.003944,"2021-07-12 19:20:14.486337",-54.54
149.546949,"2021-07-12 19:20:15.029342",-54.544
150.091513,"2021-07-12 19:20:15.573906",-54.545
150.63526,"2021-07-12 19:20:16.117653",-54.546
151.176245,"2021-07-12 19:20:16.658638",-54.55
151.722489,"2021-07-12 19:20:17.204882",-54.552
152.26234,"2021-07-12 19:20:17.744733",-54.555
152.78974,"2021-07-12 19:20:18.272133",-54.557
153.321989,"2021-07-12 19:20:18.804382",-54.56
